Gandalf Index,Maximum Similarity,Closest Training Index
9220,0.14253408214072205,4800
13888,0.26161900719896747,6469
3708,0.22707614292465206,1531
15487,0.1442633914232061,8942
5608,0.22554819300891815,8729
8027,0.16424177581842392,4263
13580,0.2536732709536178,4195
7495,0.16511168012954291,14346
5146,0.11341965232580253,1681
4989,0.13547296580352097,8579
14021,0.1262250522182029,11279
4044,0.13797529007568687,1660
128,0.2067095602018355,15711
7742,0.12042366579879904,6590
14387,0.24851222247718097,12317
7965,0.2913225033517012,10417
7091,0.11711419105783316,4727
4529,0.3035556485976214,3936
2552,0.19864935704403497,4258
1299,0.1644897475886482,10410
11161,0.12835244945619284,9150
14188,0.20013003740544688,11076
4132,0.13547083854621067,4180
4005,0.19890065477989316,6603
15999,0.15467593291142223,10399
7313,0.1818744543529468,4209
12529,0.2264571744840006,13826
7406,0.1811745571655653,8132
7191,0.1503181464303508,12145
12431,0.19491306249649543,3128
14155,0.1288157549008636,12613
58,0.1532085090582529,14086
11088,0.18222542504044914,47
4579,0.22335715892719343,3932
1493,0.2603773877984583,13659
3408,0.1423519430423199,454
9472,0.16651630635090342,12592
10062,0.11880315252056495,1857
8011,0.160911803162598,6163
2262,0.13752415123110706,5080
11546,0.15481400112258203,11849
13804,0.1626280877637265,1256
271,0.1489076471102695,5338
693,0.1326644873247672,12095
2930,0.11061347891844664,2788
15895,0.18458329857786282,10290
10673,0.24406410960346692,9079
9258,0.2609462452541911,1072
13005,0.14871139411218504,15614
12474,0.16816131192004402,11667
3327,0.2112225392422895,996
11619,0.1717444194079809,8636
12453,0.16062895101645647,12399
2512,0.16792912106644164,3079
10961,0.11278127236795654,2082
15769,0.166972101132435,5462
10253,0.13997990889129908,7301
6238,0.1743185401597983,7820
11375,0.17924497189781807,2057
3881,0.20647891049704248,2541
9785,0.13888504409878866,3053
13001,0.15129399457044523,5994
11587,0.12148172769692922,5912
1928,0.15713641135086043,1845
49,0.25734485240177385,7201
14236,0.1413535512871591,1865
5079,0.26115151372234535,5639
13270,0.20687489214113586,14083
3164,0.21987900391465254,3381
13039,0.22616086577398864,11226
12593,0.1211574481100719,5101
11776,0.19894747024519488,10029
14137,0.16019330540938614,860
5379,0.19367525336770575,4304
11026,0.18893718843997043,15618
3148,0.15001117170003075,5389
5461,0.15646061272537015,1677
9871,0.17890876841563164,1471
2049,0.12855602263826726,12946
11352,0.11434595589928997,13568
3314,0.1559230382509087,9235
11920,0.19304830623117986,14757
3199,0.18174746108634388,7832
14516,0.12936000650279156,10964
11045,0.18263873888091053,11401
1235,0.16777359793380708,6337
2853,0.1653825546738189,8369
6464,0.22354494459900331,4936
13924,0.11243963042158689,10771
12543,0.13944559630394782,11695
8075,0.1758296608918415,4698
14797,0.18583882918800376,5619
11639,0.17756686964685908,12556
2659,0.10893983856433798,11343
8436,0.15079731138148889,1530
1154,0.17901262025411668,6447
2001,0.1500287759820187,13954
3482,0.17842455497257315,11481
658,0.1264594537925976,12194
7461,0.13095546515977707,2638
11859,0.12507150361416375,6389
1219,0.2286488034033307,257
8687,0.14444843042611843,10751
1955,0.1585787938846941,9881
11147,0.12352371621388458,7832
15227,0.16544434662841168,6657
7361,0.19463931565936154,8779
4057,0.14717911483076085,12488
8534,0.1477853636940638,11205
8510,0.13738814224200724,4662
772,0.16813741363548051,15091
4950,0.19505699008101207,7301
3324,0.3661497289434412,4814
468,0.21721663137122604,9234
8618,0.14195714523287706,5551
15863,0.22059926694506182,257
14288,0.16131670030994893,3036
7440,0.34866076909482757,5620
11605,0.08561504630234984,13300
2958,0.19891467128982732,10532
13277,0.17645917548137913,7597
15886,0.2485646838982971,2002
9024,0.13409133506930848,2520
10176,0.2934044120783146,11265
7004,0.19521786732758895,7057
14893,0.16390842938965067,6890
13080,0.18652372483127477,10182
12912,0.19801812142579733,7852
15465,0.1535949718374202,7842
8223,0.14959251002801355,12819
11736,0.18728855756413398,13262
8678,0.16940076485432698,2580
1171,0.16305289172559356,10390
4365,0.11836810562126687,13107
13802,0.21702741607808385,1941
13960,0.1969697392117019,5387
11155,0.1695544284071986,1046
11186,0.15968402875712961,11401
10966,0.12229679267785576,7806
10876,0.3082846149563625,1293
11520,0.15135633397666592,1666
10014,0.18402969778632017,10160
2164,0.17538933167548387,966
15480,0.12207522473923449,13643
9610,0.14751175963710583,15447
14033,0.13745014428605784,927
1766,0.1801152466242405,4276
3445,0.26213258692243635,5741
478,0.37581693520222537,3926
4649,0.14309663086984792,5176
6867,0.1604165571855365,4825
9927,0.1676063530558729,8471
4684,0.22020357814249525,13262
14456,0.15663232148642137,11733
7346,0.11348164875649436,4975
8125,0.2563670831493412,8584
1797,0.2821763775681285,3441
122,0.13723223117999683,5501
5029,0.15956817785820687,8732
12635,0.17082767533831145,11629
12995,0.13547245990860002,8119
9944,0.1214156289894276,1996
15330,0.09927091338320537,9026
13146,0.17395999926275207,4455
11563,0.15386779498091896,7434
10126,0.12525912203465617,2060
9482,0.20328373406687106,10665
14490,0.15681823454769794,9283
2274,0.16283553758502067,8877
15179,0.11688542841244032,1981
9222,0.11535427815487553,950
1427,0.13162965926610426,7987
4128,0.21524679857841378,1735
13814,0.13842125634987845,7332
1911,0.18545904878499075,5015
857,0.11436595995290577,11402
4522,0.18098238545018852,6638
3184,0.1312820890332198,8874
613,0.13415156429468622,8345
5882,0.1826051285657776,12832
14685,0.1337931287398808,7980
15590,0.1718321062810535,13375
14945,0.1573625747241918,263
5942,0.12388873950811075,12818
4616,0.20939719006508772,11535
8375,0.17735736606210684,616
14961,0.13423699345192686,7855
1205,0.12836716760951217,7541
13255,0.13547789245540076,13604
6738,0.1787309679348763,6657
8830,0.146299398827766,4981
8970,0.1365564125302362,10413
4714,0.2647747409387148,4263
178,0.13405962517583203,12009
9435,0.18542815059627737,4854
6008,0.15649068442397096,13480
1545,0.13988877420235157,15269
171,0.18454986803368134,13651
2275,0.2386319718419635,12165
4916,0.3333916161033843,7106
2604,0.14854232104086273,9860
8008,0.19893715390055222,13640
7417,0.13549982962606633,2583
5783,0.14291813629687256,10422
8605,0.22939646393485746,7025
14840,0.26522169893178904,456
4745,0.15873280362734432,3666
937,0.19070403728691188,10836
15651,0.14264715257114846,13330
11195,0.29376601534386304,9628
1646,0.19681661098435832,7664
12437,0.16101332653600398,11096
5413,0.20056913164323542,5284
5549,0.12557847874619776,4727
9396,0.18688083284687174,14535
1532,0.16121082291752997,11506
4200,0.16125749630058894,12369
6240,0.18103778594066267,14234
1757,0.4724121051177722,12332
2629,0.11528063645883646,14551
13389,0.17726834989591822,2901
6817,0.1911974352861351,12721
1935,0.20907336389206588,4269
14100,0.1768281632073685,13338
4315,0.1558516040154143,5735
1206,0.16141983053957698,7084
8672,0.1166522076091846,2557
9110,0.16349472341318572,5520
