Model,Training Samples,Test Samples,Training Time (seconds),Prediction Time (seconds),Average Prediction Time per Sample (ms),Test Accuracy,Test F1
Logistic Regression,12809,3203,0.24450825000167242,0.0032774160026747268,0.0010232332196923905,0.9528566968467063,0.9705250829592036
Random Forest,12809,3203,2.348305125000479,0.05428220799876726,0.016947301904079694,0.953793318763659,0.9705296694544007
Linear SVM,12809,3203,0.4470415830001002,0.0018851659988285974,0.0005885625971990625,0.9781454886044333,0.9859437751004017
