Model,Baseline Accuracy,Baseline Precision,Baseline Recall,Baseline F1,Unseen Accuracy,Unseen Precision,Unseen Recall,Unseen F1,FPR,FNR,Accuracy Change,Precision Change,Recall Change,F1 Change
Logistic Regression,0.8298,0.9427,0.8334,0.8847,0.869,0.7966237942122186,0.991,0.8832442067736186,0.253,0.009,0.03920000000000001,-0.14607620578778135,0.15759999999999996,-0.0014557932263814521
Random Forest,0.966,0.9938,0.9625,0.9779,0.955,0.9292452830188679,0.985,0.9563106796116505,0.075,0.015,-0.01100000000000001,-0.06455471698113213,0.022499999999999964,-0.021589320388349487
Linear SVM,0.8973,0.9814,0.8856,0.9311,0.976,0.9675834970530451,0.985,0.9762140733399405,0.033,0.015,0.07869999999999999,-0.013816502946954912,0.09939999999999993,0.04511407333994044
