Model,Baseline Normal Accuracy,Augmented Normal Accuracy,Normal Accuracy Change,Baseline Normal Precision,Augmented Normal Precision,Baseline Normal Recall,Augmented Normal Recall,Baseline Normal F1,Augmented Normal F1,Normal F1 Change,Baseline Normal FPR,Augmented Normal FPR,Normal FPR Change,Baseline Stripped Recall,Augmented Stripped Recall,Stripped Recall Change
Logistic Regression,0.9528566968467063,0.9447393068997815,-0.008117389946924791,0.9510328997704667,0.9396681749622926,0.9908330011956955,0.9932243921881228,0.9705250829592036,0.9657043208680488,-0.004820762091154784,0.1844380403458213,0.23054755043227665,0.046109510086455335,0.9979919678714859,0.9979919678714859,0.0
Random Forest,0.953793318763659,0.9572275991258196,0.0034342803621605356,0.9697572622363708,0.9710087370929309,0.9713033080908728,0.9744918294141092,0.9705296694544007,0.9727471653073404,0.0022174958529397326,0.10951008645533142,0.10518731988472622,-0.004322766570605194,0.9859437751004017,0.9879518072289156,0.00200803212851397
Linear SVM,0.9781454886044333,0.9778332812987824,-0.00031220730565084676,0.9935248887090247,0.9919289749798225,0.9784774810681547,0.9796731765643683,0.9859437751004017,0.9857629837577702,-0.0001807913426314922,0.023054755043227664,0.02881844380403458,0.005763688760806917,0.9939759036144579,0.9959839357429718,0.00200803212851397
