Model,Best Parameters,CV F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score
Tuned Logistic Regression,"{'C': 100, 'solver': 'liblinear'}",0.959,0.9494,0.9568,0.9797,0.9681
Tuned Random Forest,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9643,0.9669,0.9762,0.9817,0.9789
Tuned Linear SVM,"{'C': 100, 'loss': 'squared_hinge'}",0.9755,0.9735,0.9856,0.9805,0.983
Tuned Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.9675,0.9628,0.9731,0.9797,0.9764
